Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
CMTM2	"CKLFSF2, FLJ25732, MGC39436"	ENSG00000140932	"CKLF like MARVEL transmembrane domain containing 2"	Q8TAZ6	16	66579448-66588275	"Predicted membrane proteins"	Chemotaxis	Cytokine		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	427	"testis: 630.9"	"Group enriched"	"Detected in some"	58	"Early spermatids: 3600.0;Late spermatids: 3391.5;Spermatocytes: 1115.0"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in single"		"Testicular Germ Cell Tumor (TCGA): 1.8"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	5	"neutrophil: 1.1"	"Lineage enriched"	"Detected in single"	5	"granulocytes: 1.1"	"Low cancer specificity"	"Detected in single"			"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Lung - Neutrophil_2, Spleen - Neutrophils, Stomach - Neutrophils, Testis - Early spermatids, Testis - Late spermatids"					"Low region specificity"	"Detected in all"										NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 10: Testis - Spermatid development"	"Cluster 34: Non-specific - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	10						"unprognostic (1.99e-2)"			"unprognostic (1.28e-1)"		"potential prognostic favorable (4.09e-4)"																		"unprognostic (1.97e-1)"			"unprognostic (1.60e-1)"		
SLC22A1	OCT1	ENSG00000175003	"Solute carrier family 22 member 1"	O15245	6	160121815-160158718	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	381	"liver: 594.8"	"Cell type enriched"	"Detected in some"	22	"Hepatocytes: 803.2"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in some"	65	"Liver Hepatocellular Carcinoma (TCGA): 112.9"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	12	"neutrophil: 3.5"	"Lineage enriched"	"Detected in single"	12	"granulocytes: 3.5"	"Not detected"	"Not detected"			"Liver - Hepatocytes, Spleen - Neutrophils"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA029846	Approved						NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 31: Liver - Plasma proteins"	"Cluster 51: Neurons - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 43: Hepatocytes - Metabolism"	4			"HPA029846: AB_10603026"						"unprognostic (1.11e-2)"		"unprognostic (1.93e-2)"	"unprognostic (6.09e-3)"					"validated prognostic favorable (3.96e-5)"	"validated prognostic favorable (9.29e-8)"											"unprognostic (8.48e-3)"					
ORM2	"AGP-B, AGP-B', AGP2"	ENSG00000228278	"Orosomucoid 2"	P19652	9	114329869-114333251	"FDA approved drug targets, Plasma proteins, Predicted secreted proteins"	"Acute phase, Transport"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	297	"liver: 8652.9"	"Cell type enriched"	"Detected in some"	44	"Hepatocytes: 9678.3"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	33	"Liver Hepatocellular Carcinoma (TCGA): 2268.7"	"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in single"	39	"neutrophil: 13.2"	"Lineage enriched"	"Detected in single"	39	"granulocytes: 13.2"	"Cancer enriched"	"Detected in some"	27	"liver cancer: 95.6"	"Liver - Hepatocytes, Testis - Late spermatids"									"HPA046438, HPA047725, HPA057726"	Approved		Approved	"Golgi apparatus,Vesicles"	"Secreted to blood"	"Acute phase"	NA	NA	422000000	29000000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 31: Liver - Plasma proteins"	"Cluster 33: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	5	Vesicles	"Golgi apparatus"	"HPA046438: AB_2679666, HPA047725: AB_2680133, HPA057726: AB_2683512"		"unprognostic (2.88e-3)"	"unprognostic (3.41e-1)"								"potential prognostic unfavorable (5.27e-6)"			"unprognostic (6.53e-2)"	"unprognostic (8.21e-3)"	"unprognostic (9.83e-2)"	"unprognostic (4.84e-3)"	"unprognostic (1.47e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.81e-1)"		"unprognostic (6.38e-3)"	"unprognostic (5.16e-1)"	"unprognostic (5.21e-2)"	"unprognostic (1.09e-1)"		"unprognostic (6.66e-1)"	"unprognostic (3.28e-1)"			"unprognostic (5.20e-1)"
ORM1		ENSG00000229314	"Orosomucoid 1"	P02763	9	114323098-114326479	"Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins"	"Acute phase, Transport"		"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	177	"liver: 41892.9"	"Cell type enriched"	"Detected in some"	53	"Hepatocytes: 54806.5"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	13	"Liver Hepatocellular Carcinoma (TCGA): 7670.7"	"Low region specificity"	"Detected in single"			"Immune cell enriched"	"Detected in some"	47	"neutrophil: 201.8"	"Lineage enriched"	"Detected in many"	47	"granulocytes: 201.8"	"Cancer enriched"	"Detected in many"	4	"liver cancer: 243.4"	"Liver - Hepatocytes, Lung - Neutrophil_2"									"CAB006265, HPA046438, HPA047725, HPA057726"	Approved		Approved	"Golgi apparatus,Vesicles"	"Secreted to blood"	"Acute phase"	NA	NA	945000000000	45000000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 31: Liver - Plasma proteins"	"Cluster 54: Immune cells - T cell receptor"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	22	Vesicles	"Golgi apparatus"	"CAB006265: AB_425575, HPA046438: AB_2679666, HPA047725: AB_2680133, HPA057726: AB_2683512"	"unprognostic (3.25e-1)"	"unprognostic (4.14e-2)"	"unprognostic (1.24e-1)"	"unprognostic (3.16e-3)"	"unprognostic (9.91e-3)"	"unprognostic (1.59e-2)"					"unprognostic (1.86e-2)"			"unprognostic (2.66e-1)"	"potential prognostic favorable (1.16e-4)"	"unprognostic (6.02e-2)"	"unprognostic (1.88e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.82e-1)"	"unprognostic (1.22e-1)"	"unprognostic (2.59e-3)"	"unprognostic (3.24e-2)"	"unprognostic (1.77e-1)"	"unprognostic (1.13e-1)"	"unprognostic (1.25e-1)"	"unprognostic (6.24e-1)"	"unprognostic (1.47e-1)"	"unprognostic (1.98e-2)"	"unprognostic (1.20e-2)"	"unprognostic (9.18e-2)"
ERVH48-1	"C21orf105, NDUFV3-AS1, SUPYN"	ENSG00000233056	"Endogenous retrovirus group 48 member 1"	M5A8F1	21	42916803-42925630	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	98	"placenta: 148.0"	"Group enriched"	"Detected in some"	21	"Cytotrophoblasts: 132.0;Extravillous trophoblasts: 280.0;Syncytiotrophoblasts: 77.7"	"Low cell type specificity"	"Detected in some"			"Cancer enriched"	"Detected in some"	15	"Testicular Germ Cell Tumor (TCGA): 134.1"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	6	"neutrophil: 7.8"	"Lineage enriched"	"Detected in single"	12	"granulocytes: 7.8"	"Cancer enriched"	"Detected in many"	5	"testis cancer: 41.3"	"Prostate - Prostate glandular cells"														"Secreted in female reproductive system"	"No annotated function"	NA	NA		24000	"Cluster 21: Neutrophils - Unknown function"		"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 4: Extravillous trophoblasts - Unknown function"					"unprognostic (1.39e-1)"					"unprognostic (7.93e-2)"										"unprognostic (8.36e-2)"	"unprognostic (1.36e-2)"							"unprognostic (9.51e-2)"		"unprognostic (8.89e-2)"			"unprognostic (3.07e-1)"		
BTNL3	"BTN9.1, BTNLR"	ENSG00000168903	"Butyrophilin like 3"	Q6UXE8	5	180988846-181006727	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	65	"intestine: 112.0"	"Group enriched"	"Detected in some"	5	"Distal enterocytes: 97.9;Intestinal goblet cells: 53.3;Paneth cells: 45.3;Proximal enterocytes: 167.9"	"Cell type enriched"	"Detected in single"	17	"endothelial cell: 3.7"	"Cancer enhanced"	"Detected in some"		"Colon Adenocarcinoma (TCGA): 7.6;Rectum Adenocarcinoma (TCGA): 7.2"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	207	"neutrophil: 22.4"	"Lineage enriched"	"Detected in single"	207	"granulocytes: 22.4"	"Group enriched"	"Detected in some"	4	"colorectal cancer: 2.6;Gastric cancer: 1.0"	"Colon - Colon enterocytes"																NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 25: Small intestine - Absorption"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"									"unprognostic (1.15e-1)"	"unprognostic (6.74e-2)"									"unprognostic (1.81e-1)"							"unprognostic (4.27e-2)"	"unprognostic (2.10e-1)"		"potential prognostic favorable (2.86e-4)"	"unprognostic (4.96e-2)"		"unprognostic (1.11e-2)"			
DEFA3	"DEF3, HNP-3"	ENSG00000239839	"Defensin alpha 3"	P59666	8	7015869-7018297	"Cancer-related genes, Predicted secreted proteins"	"Antiviral defense"	"Antibiotic, Antimicrobial, Defensin, Fungicide"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	63	"bone marrow: 36396.6"	"Cell type enriched"	"Detected in some"	5	"Kupffer cells: 52.9"					"Group enriched"	"Detected in some"	5	"Glioblastoma Multiforme (TCGA): 3.4;Kidney Renal Clear Cell Carcinoma (TCGA): 1.1"	"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in many"	20	"neutrophil: 833.8"	"Lineage enriched"	"Detected in many"	20	"granulocytes: 833.8"	"Cancer enriched"	"Detected in single"	223	"Leukemia: 22.3"	"Liver - Erythroid cells, Lung - Neutrophil_1, Pituitary gland - Neutrophils, Spleen - Hematopoietic stem cells"									HPA052517	Supported				"Secreted to blood"	Defense	NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"				"HPA052517: AB_2681860"							"unprognostic (1.03e-1)"				"unprognostic (1.77e-2)"																				
DEFA4	"DEF4, HP-4"	ENSG00000164821	"Defensin alpha 4"	P12838	8	6935820-6938306	"Predicted secreted proteins"		"Antibiotic, Antimicrobial, Defensin, Fungicide"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	59	"bone marrow: 2664.7"	"Cell type enriched"	"Detected in some"	10	"Kupffer cells: 10.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in some"	13	"neutrophil: 13.2"	"Lineage enriched"	"Detected in many"	13	"granulocytes: 13.2"	"Cancer enriched"	"Detected in single"	291	"Leukemia: 29.1"	"Liver - Erythroid cells, Lung - Neutrophil_1, Pituitary gland - Neutrophils, Spleen - Hematopoietic stem cells"									HPA051266	Enhanced				"Secreted to blood"	Defense	NA	NA		31000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 6: Bone marrow - Innate immune response"		"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"				"HPA051266: AB_2681414"																															
ENSG00000289715		ENSG00000289715	"Novel protein"		1	21547404-21554002	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enriched"	"Detected in single"	58	"retina: 22.2"													"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	28	"neutrophil: 2.7"	"Lineage enriched"	"Detected in single"	28	"granulocytes: 2.7"	"Not detected"	"Not detected"				"Not detected"	"Not detected"														NA	NA					"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 71: Lymphoma - Inflammatory response"																																				
FANCD2OS	"C3orf24, MGC40179"	ENSG00000163705	"FANCD2 opposite strand"	Q96PS1	3	10081317-10108255	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	58	"testis: 59.9"	"Group enriched"	"Detected in some"	74	"Early spermatids: 500.4;Late spermatids: 864.7"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	5	"neutrophil: 5.3"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 5.3"	"Not detected"	"Not detected"			"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA065487			Approved	Vesicles			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 20: Testis - Spermatogenesis"	"Cluster 15: Non-specific - Transcription"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 11: Late spermatids - Unknown function"	13	Vesicles		"HPA065487: "																										"unprognostic (9.50e-2)"					
